Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1779131109,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1779131110,20,,Aggregated,0.000000,0.000000,97,130,460,510,560,580,590,590,590,590,590,33,0,97,205.06447272738583,12.462199985748157,587.3814999940805,1234.8484848484848
1779131111,30,,Aggregated,0.000000,0.000000,120,460,500,550,590,630,630,730,730,730,730,78,0,110,249.62787564026002,10.392299998784438,730.0245999940671,1165.6538461538462
1779131112,40,,Aggregated,23.000000,0.000000,150,470,520,550,620,710,930,1200,1400,1400,1400,123,0,150,296.8447560970236,10.392299998784438,1446.402500005206,1145.0243902439024
1779131113,40,,Aggregated,25.000000,0.000000,180,470,510,550,610,730,1300,1500,1700,1700,1700,178,0,170,307.4745803363778,10.392299998784438,1716.502799972659,1116.8932584269662
1779131114,40,,Aggregated,31.333333,0.000000,120,300,490,520,620,920,1500,1700,2400,2400,2400,251,0,120,285.5790521901062,10.392299998784438,2425.6827000062913,1016.0119521912351
1779131115,40,,Aggregated,34.750000,0.000000,97,180,420,500,590,800,1500,1700,2400,2400,2400,321,0,97,249.25818006167873,10.392299998784438,2425.6827000062913,961.7507788161994
1779131116,40,,Aggregated,45.200000,0.000000,97,170,350,490,610,830,1500,2000,4700,4700,4700,379,0,97,260.2054596298662,10.078899998916313,4731.67020000983,931.3905013192613
1779131117,40,,Aggregated,49.000000,0.000000,93,150,290,470,600,1000,1700,3400,5000,5000,5000,453,0,93,275.0793938180915,10.078899998916313,5022.730500000762,907.4370860927153
1779131118,40,,Aggregated,50.142857,0.000000,88,150,260,460,610,1200,2000,3400,5000,5000,5000,515,0,88,280.8457510675263,10.078899998916313,5022.730500000762,892.6873786407767
1779131119,40,,Aggregated,52.750000,0.000000,82,130,230,360,600,1200,2500,4500,7200,7200,7200,588,0,82,294.1441561221038,10.078899998916313,7231.284100009361,882.1071428571429
1779131120,40,,Aggregated,54.222222,0.000000,83,130,220,350,590,1200,2400,4200,7200,7200,7200,649,0,83,286.0314211090998,10.078899998916313,7231.284100009361,872.7411402157165
1779131121,40,,Aggregated,55.500000,0.000000,81,130,210,310,570,1200,2400,4200,7200,7200,7200,711,0,81,281.00136976056103,10.078899998916313,7231.284100009361,862.1533052039381
1779131122,40,,Aggregated,59.500000,0.000000,78,130,210,290,590,1300,2500,4300,7200,7200,7200,772,0,78,288.60079209800386,10.078899998916313,7231.284100009361,853.4417098445596
1779131123,40,,Aggregated,63.600000,0.000000,81,130,200,280,600,1300,2600,4200,7200,7200,7200,832,0,80,293.6821956727027,10.078899998916313,7231.284100009361,847.6213942307693
1779131124,40,,Aggregated,65.300000,0.000000,78,120,190,260,610,1300,2500,4200,7200,7200,7200,900,0,78,285.95876122184563,10.078899998916313,7231.284100009361,842.7244444444444
1779131125,40,,Aggregated,66.200000,0.000000,78,130,200,280,610,1300,2800,4300,7200,7200,7200,969,0,78,299.14617358047445,10.078899998916313,7231.284100009361,839.0959752321982
1779131126,40,,Aggregated,64.800000,0.000000,78,130,190,250,600,1300,2800,4300,7200,8600,8600,1030,0,78,298.5393853393017,10.078899998916313,8641.43580000382,835.0766990291262
1779131127,40,,Aggregated,64.200000,0.000000,77,130,190,250,600,1300,3000,4300,7200,8600,8600,1097,0,77,299.78214339064493,10.078899998916313,8641.43580000382,832.1768459434822
1779131128,40,,Aggregated,65.700000,0.000000,76,120,190,260,610,1400,2800,4300,7200,8600,8600,1164,0,76,304.83296451856813,10.078899998916313,8641.43580000382,829.9750859106529
1779131129,40,,Aggregated,64.600000,0.000000,75,120,180,250,600,1500,2800,4200,7200,8600,8600,1230,0,75,300.8971847151548,10.078899998916313,8641.43580000382,828.1666666666666
1779131130,40,,Aggregated,64.200000,0.000000,74,120,180,240,610,1500,2800,4300,7200,8600,8600,1299,0,74,299.1533912238609,10.078899998916313,8641.43580000382,825.6735950731331
1779131131,40,,Aggregated,64.900000,0.000000,73,120,180,240,620,1500,2700,4200,7200,8600,8600,1368,0,73,300.99165263153105,10.078899998916313,8641.43580000382,822.0950292397661
1779131132,40,,Aggregated,65.100000,0.000000,72,120,180,240,620,1600,3000,4200,7200,8600,8600,1437,0,72,301.63763896996386,10.078899998916313,8641.43580000382,820.3194154488518
1779131133,40,,Aggregated,64.700000,0.000000,72,120,180,240,610,1600,3000,4200,7200,8600,8600,1498,0,72,298.9508267021693,10.078899998916313,8641.43580000382,818.3297730307077
1779131134,40,,Aggregated,65.800000,0.000000,72,120,180,240,610,1500,2700,4100,7200,8600,8600,1565,0,72,297.174732268233,10.078899998916313,8641.43580000382,815.4076677316294
1779131135,40,,Aggregated,67.300000,0.000000,71,120,180,240,610,1500,2700,4000,7200,8600,8600,1632,0,71,296.716114215426,10.078899998916313,8641.43580000382,813.5606617647059
1779131136,40,,Aggregated,65.800000,0.000000,71,120,180,240,620,1600,2800,4200,7200,8600,8600,1695,0,71,301.29830890823126,10.078899998916313,8641.43580000382,811.7351032448378
1779131137,40,,Aggregated,65.800000,0.000000,71,120,180,240,620,1600,2800,4200,7200,8600,8600,1763,0,71,302.4799503684554,10.078899998916313,8641.43580000382,809.8423142370958
1779131138,40,,Aggregated,65.200000,0.000000,71,120,180,240,630,1600,2800,4100,7200,8600,8600,1829,0,71,302.8620110987711,10.078899998916313,8641.43580000382,808.2099507927829
1779131139,40,,Aggregated,65.500000,0.000000,70,120,170,240,620,1600,2700,4100,7200,8600,8600,1897,0,70,298.13552198197124,10.078899998916313,8641.43580000382,807.31418028466
1779131140,40,,Aggregated,66.600000,0.000000,71,120,170,240,620,1600,2800,4000,7200,8600,8600,1957,0,71,299.44309744495587,10.078899998916313,8641.43580000382,806.9540112416964
1779131141,40,,Aggregated,65.900000,0.000000,69,120,170,230,620,1600,3000,4000,7100,8600,8600,2029,0,69,298.36871118771364,9.783199988305569,8641.43580000382,805.9172005914244
1779131142,40,,Aggregated,65.900000,0.000000,69,120,170,230,620,1600,2800,4000,7100,8600,8600,2090,0,69,297.5866491864987,9.783199988305569,8641.43580000382,804.1210526315789
1779131143,40,,Aggregated,65.600000,0.000000,69,120,170,230,620,1600,2800,4000,7100,8600,8600,2154,0,69,298.5387091456558,9.783199988305569,8641.43580000382,803.240947075209
1779131144,40,,Aggregated,65.100000,0.000000,70,120,170,240,630,1600,2700,4000,7100,8600,8600,2216,0,69,298.18767527068314,9.783199988305569,8641.43580000382,802.4129061371841
1779131145,40,,Aggregated,64.800000,0.000000,71,120,170,230,630,1600,2800,4000,7100,8600,8600,2279,0,71,298.9811335233955,9.783199988305569,8641.43580000382,802.2896007020623
1779131146,40,,Aggregated,64.200000,0.000000,70,120,170,230,650,1600,3000,4000,7200,11000,11000,2349,0,70,303.3606798211062,9.783199988305569,11346.787899994524,801.4269902085994
1779131147,40,,Aggregated,65.700000,0.000000,70,110,170,230,630,1600,2800,4000,7200,11000,11000,2410,0,70,300.1001839002974,9.783199988305569,11346.787899994524,800.8618257261411
1779131148,40,,Aggregated,64.800000,0.000000,71,120,170,230,630,1600,3000,4000,7200,11000,11000,2476,0,71,301.70588933754885,9.783199988305569,11346.787899994524,800.3715670436187
1779131149,40,,Aggregated,65.700000,0.000000,70,120,170,230,630,1600,3000,4000,7200,11000,11000,2544,0,70,299.88614154861796,9.783199988305569,11346.787899994524,799.4331761006289
1779131150,40,,Aggregated,64.500000,0.000000,71,120,170,230,630,1600,3000,4000,7900,11000,11000,2614,0,70,301.6903645752516,9.783199988305569,11346.787899994524,798.8370313695486
1779131151,40,,Aggregated,64.300000,0.000000,70,120,170,230,650,1600,3000,4100,7900,11000,11000,2677,0,70,303.4020878594535,9.783199988305569,11346.787899994524,798.2147926783713
1779131152,40,,Aggregated,64.700000,0.000000,70,110,170,230,630,1600,3000,4000,7900,11000,11000,2747,0,70,298.9819920640565,9.783199988305569,11346.787899994524,798.0025482344375
