Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /contracts/,2640,0,670,661.8997981818675,5.91310000163503,1891.2027000042144,2319.0,22.09701942209252,0.0,670,710,760,860,910,1100,1200,1300,1600,1900,1900
GET,GET /dashboard/activity,2668,0,590,576.9116981257449,7.855599993490614,1541.751500000828,165.0,22.331381749296533,0.0,590,640,670,730,840,970,1000,1200,1500,1500,1500
GET,GET /dashboard/summary,2680,0,630,614.4763247761645,7.112899998901412,1549.9412000062875,104.0,22.431822746669678,0.0,630,680,710,770,870,1000,1100,1200,1500,1500,1500
GET,GET /data-health/issues,1112,0,680,668.7576271581636,6.151800000225194,1510.3684999921825,13996.0,9.30753242324503,0.0,680,730,770,860,910,1000,1100,1300,1500,1500,1500
GET,GET /deals/,2757,0,570,571.4477922379892,5.140699999174103,1635.1444000029005,1784.0,23.07631914648071,0.0,570,640,670,710,830,950,1000,1200,1400,1600,1600
GET,GET /document-registry/,2620,0,630,611.0098206105382,4.399199999170378,1621.357199997874,2789.0,21.92961775980394,0.0,630,670,700,790,860,990,1100,1200,1500,1600,1600
GET,GET /finance/cashflow,1120,0,640,629.2520065177347,5.0546000129543245,1814.9301999947056,1707.0,9.374493088160463,0.0,640,680,720,820,890,1000,1200,1300,1700,1800,1800
GET,GET /finance/overview,1122,0,640,637.1615461676566,7.024899998214096,1711.3660000031814,2372.0,9.391233254389322,0.0,640,700,740,820,890,1000,1100,1200,1500,1700,1700
POST,POST /auth/login,100,0,630,636.7681770013587,316.4942000003066,983.8083000067854,1350.0,0.8370083114428984,0.0,630,680,710,740,800,930,980,980,980,980,980
,Aggregated,16819,0,620,614.586629561773,4.399199999170378,1891.2027000042144,2338.9347761460253,140.7764279015811,0.0,620,680,720,790,880,1000,1100,1200,1500,1800,1900
