Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /contracts/,37,0,6,6.319899999652989,5.570899986196309,8.207600010791793,2319.0,1.271320135427913,0.0,6,6,7,7,8,8,8,8,8,8,8
GET,GET /dashboard/activity,37,0,4.085200009285472,4.597132431651541,4.085200009285472,5.992499995045364,164.0,1.271320135427913,0.0,4,5,5,5,6,6,6,6,6,6,6
GET,GET /dashboard/summary,37,0,7,6.982464865605171,6.315499995253049,9.076100002857856,104.0,1.271320135427913,0.0,7,7,7,7,8,8,9,9,9,9,9
GET,GET /data-health/issues,13,0,6.843499999376945,6.268946153935618,5.498600003193133,6.843499999376945,13996.0,0.4466800475827802,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,GET /data-health/report.pdf [CPU],11,0,97,143.856854545778,89.09170000697486,636.1964999960037,5600.0,0.37796004026235247,0.0,97,99,99,99,99,640,640,640,640,640,640
GET,GET /deals/,38,0,4,4.338139475102683,3.737799997907132,5.9480999916559085,1784.0,1.3056801390881267,0.0,4,5,5,5,5,6,6,6,6,6,6
GET,GET /document-registry/,37,0,5,4.82788378438862,4.243800009135157,6.8863999913446605,2789.0,1.271320135427913,0.0,5,5,5,5,6,6,7,7,7,7,7
GET,GET /finance/cashflow,13,0,4.134000002522953,4.621161536376278,4.134000002522953,5.880099997739308,1707.0,0.4466800475827802,0.0,4,4,5,5,6,6,6,6,6,6,6
GET,GET /finance/overview,13,0,7,7.527207692664188,6.226199999218807,11.249599992879666,2372.0,0.4466800475827802,0.0,7,8,8,8,10,11,11,11,11,11,11
GET,GET /outgoing-registry/ [bug?],6,0,10,10.55169999502444,9.44369999342598,12.466899992432445,8929.0,0.20616002196128316,0.0,10,10,11,11,12,12,12,12,12,12,12
POST,POST /auth/login,1,0,177.0259999902919,177.0259999902919,177.0259999902919,177.0259999902919,1350.0,0.03436000366021386,0.0,180,180,180,180,180,180,180,180,180,180,180
POST,POST /tasks/ [write],9,0,11,25.82267777567419,10.011799997300841,147.58319999964442,687.0,0.30924003294192476,0.0,11,11,12,12,150,150,150,150,150,150,150
PUT,PUT /tasks/{id} [write],13,0,11,11.09770769051885,10.17560000764206,13.32689999253489,916.7692307692307,0.4466800475827802,0.0,11,11,11,11,11,13,13,13,13,13,13
,Aggregated,265,0,6,12.998578867782786,3.737799997907132,636.1964999960037,2401.147169811321,9.105400969956673,0.0,6,7,7,8,11,13,99,150,640,640,640
