Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /contracts/,1061,0,290,304.1984256362084,95.92049999628216,931.9594999979017,2319.0,14.276597707703708,0.0,290,330,390,410,450,520,600,700,800,930,930
GET,GET /dashboard/activity,1070,0,210,229.6752479439683,73.00219999160618,586.3695000007283,165.0,14.397699856025417,0.0,210,250,280,320,380,430,480,530,570,590,590
GET,GET /dashboard/summary,1072,0,290,304.6977391789627,106.39839999203105,850.537100006477,104.0,14.424611444541352,0.0,290,330,380,390,460,520,610,660,800,850,850
GET,GET /data-health/issues,414,0,300,313.4192579711918,133.81050000316463,816.4168999937829,13996.0,5.570698822798619,0.0,300,340,380,410,460,520,590,630,820,820,820
GET,GET /data-health/report.pdf [CPU],186,0,410,425.0161930105351,226.54410000541247,831.5958000021055,5599.8387096774195,2.5027777319819884,0.0,410,470,510,540,600,650,680,740,830,830,830
GET,GET /deals/,1107,0,190,223.37215754259023,68.71389999287203,622.1961999981431,1784.0,14.89556424357022,0.0,190,250,270,290,370,420,480,520,600,620,620
GET,GET /document-registry/,1056,0,250,263.44129848491843,78.17090000025928,670.7454999996116,2789.0,14.209318736413868,0.0,250,290,330,360,400,470,500,570,650,670,670
GET,GET /finance/cashflow,414,0,260,271.3808673911642,106.76309998962097,615.570399997523,1707.0,5.570698822798619,0.0,260,290,320,360,410,490,560,590,620,620,620
GET,GET /finance/overview,414,0,320,341.1630207735211,143.6727999971481,978.2517999992706,2372.0,5.570698822798619,0.0,320,380,410,430,500,580,650,760,980,980,980
GET,GET /outgoing-registry/ [bug?],112,0,470,491.9180205353249,257.9667999962112,885.5091000004904,8929.0,1.50704895689238,0.0,470,530,610,640,700,740,820,850,890,890,890
POST,POST /auth/login,40,0,1100,1021.5342299998156,743.0965999956243,1210.584000000381,1350.0,0.5382317703187072,0.0,1100,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
POST,POST /tasks/ [write],320,0,530,555.1842415630745,222.13910000573378,1772.7720999973826,688.0,4.305854162549657,0.0,530,610,660,680,780,900,1000,1000,1800,1800,1800
PUT,PUT /tasks/{id} [write],182,0,590,586.5589879123125,225.63310000987258,1031.4972999913152,918.6538461538462,2.4489545549501175,0.0,590,640,680,740,790,830,890,920,1000,1000,1000
,Aggregated,7448,0,270,303.89106416487806,68.71389999287203,1772.7720999973826,2367.6949516648765,100.21875563334328,0.0,270,330,380,410,500,590,730,830,1200,1800,1800
