Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /contracts/,4210,0,300,311.32847781485594,15.013700001873076,913.4339000011096,2319.0,14.091494476938793,0.0,300,340,390,410,480,530,610,650,810,910,910
GET,GET /dashboard/activity,4218,0,230,237.75755744431996,13.276900004711933,821.7166999966139,165.0,14.118271663593308,0.0,230,260,290,330,370,440,490,530,710,820,820
GET,GET /dashboard/summary,4224,0,290,307.52158913342015,10.74539999535773,948.1817000050796,104.0,14.138354553584195,0.0,290,350,380,400,470,520,580,620,770,950,950
GET,GET /data-health/issues,1640,0,300,315.47760878052145,93.86189999349881,828.158499993151,13996.0,5.489323264175682,0.0,300,340,400,410,490,530,610,660,780,830,830
GET,GET /data-health/report.pdf [CPU],840,0,420,436.3079667855865,176.68170000251848,1765.271299998858,5601.188095238095,2.81160459872413,0.0,420,480,510,530,590,660,710,780,1800,1800,1800
GET,GET /deals/,4253,0,210,227.17789635546848,9.172799997031689,843.3900999953039,1784.0,14.235421855206814,0.0,210,250,270,310,360,420,470,510,630,840,840
GET,GET /document-registry/,4208,0,260,266.0594552282194,13.073099995381199,731.8457000073977,2789.0,14.084800180275163,0.0,260,290,350,360,410,470,530,570,680,730,730
GET,GET /finance/cashflow,1642,0,260,274.3119177832649,36.49030000087805,887.888599987491,1707.0,5.49601756083931,0.0,260,300,350,370,420,480,540,590,740,890,890
GET,GET /finance/overview,1643,0,340,353.1404196592436,94.48230000270996,983.1984000047669,2372.0,5.499364709171125,0.0,340,400,430,460,520,580,650,700,810,980,980
GET,GET /outgoing-registry/ [bug?],419,0,490,503.4070651555103,77.31320000311825,1125.9881000005407,8929.0,1.4024551510302503,0.0,490,550,610,630,710,790,880,920,1100,1100,1100
POST,POST /auth/login,40,0,550,568.7165399987862,355.1599999918835,873.0862999946112,1350.0,0.1338859332725776,0.0,550,570,580,620,860,870,870,870,870,870,870
POST,POST /tasks/ [write],1256,0,570,590.9936791402426,122.79819999821484,2612.5641999969957,688.0,4.204018304758937,0.0,570,650,690,730,830,910,1100,1300,1900,2600,2600
PUT,PUT /tasks/{id} [write],800,0,560,591.4805321249514,255.50149999617133,1356.1495000030845,918.36625,2.677718665451552,0.0,560,650,700,730,810,900,1000,1100,1400,1400,1400
,Aggregated,29393,0,280,308.303058544578,9.172799997031689,2612.5641999969957,2380.645731977001,98.38273091702183,0.0,280,340,390,410,510,590,710,800,1100,1800,2600
