Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /contracts/,1366,1191,26,66.83995980966858,1.4875000051688403,473.6567000072682,381.66325036603223,46.910676670030114,40.900890127383505,26,32,38,43,270,340,440,450,470,470,470
GET,GET /dashboard/activity,1377,1191,26,47.07070733500655,1.562799996463582,297.79719999351073,105.77995642701525,47.28843468128218,40.900890127383505,26,32,39,44,170,190,220,270,290,300,300
GET,GET /dashboard/summary,1382,1186,27,83.3475136758447,1.7186000040965155,539.2175000015413,97.99276410998553,47.460142868214945,40.729181940450744,27,32,38,46,410,450,510,520,530,540,540
GET,GET /data-health/issues,548,471,26,67.40668795652982,2.1818999957758933,449.38960000581574,2049.961678832117,18.81921728783053,16.17491120906602,26,32,39,44,260,360,420,430,450,450,450
GET,GET /deals/,1428,1184,26,109.87789327726419,1.5340999962063506,4835.072899993975,385.2549019607843,49.03985818799634,40.660498665677636,26,33,42,50,190,290,970,2600,4300,4800,4800
GET,GET /document-registry/,1365,1209,26,52.25868153836981,1.4510000037262216,341.38899999379646,404.65714285714284,46.87633503264356,41.519039600341436,26,32,38,43,200,280,300,310,340,340,340
GET,GET /finance/cashflow,551,472,26,54.21777967382189,3.900600000633858,336.99859998887405,327.8348457350272,18.922242199990183,16.20925284645257,26,32,40,47,210,230,280,290,340,340,340
GET,GET /finance/overview,553,469,25,74.54028770327147,3.8372999988496304,446.06049999129027,442.56962025316454,18.990925474763287,16.106227934292917,25,33,39,48,320,390,420,430,450,450,450
POST,POST /auth/login,60,0,9900,9141.931083332505,6192.073300000629,10118.382999993628,1350.0,2.0604982431931234,0.0,9900,9900,9900,9900,9900,9900,10000,10000,10000,10000,10000
,Aggregated,8630,7373,26,133.96225383551047,1.4510000037262216,10118.382999993628,409.58227114716107,296.3683306459443,253.20089245104833,26,33,39,46,220,340,450,1200,9900,10000,10000
