Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1779112199,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1779112200,30,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1779112201,60,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1779112202,60,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1779112203,60,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1779112204,60,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1779112205,60,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1779112206,60,,Aggregated,0.000000,0.000000,6700,6700,6700,6700,6700,6700,6700,6700,6700,6700,6700,3,0,6700,6554.493900005279,6192.073300000629,6736.114800005453,1350.0
1779112207,60,,Aggregated,0.000000,0.000000,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100,11,0,7093.777200003387,6946.380072729715,6192.073300000629,7093.777200003387,1350.0
1779112208,60,,Aggregated,0.000000,0.000000,7100,8100,8300,8500,8800,8800,8800,8800,8800,8800,8800,18,0,7100,7531.473888890307,6192.073300000629,8832.746300002327,1350.0
1779112209,60,,Aggregated,1.375000,0.000000,8500,9200,9600,9600,9600,9900,9900,9900,9900,9900,9900,28,0,8300,8260.242907143298,6192.073300000629,9926.804500006256,1350.0
1779112210,60,,Aggregated,1.444444,0.000000,9600,9900,9900,9900,9900,9900,10000,10000,10000,10000,10000,72,0,9600,8282.337163888062,2766.50410000002,10118.382999993628,1422.3333333333333
1779112211,60,,Aggregated,1.800000,0.000000,440,970,4000,7100,9900,9900,9900,9900,10000,10000,10000,259,0,440,2623.9487274130647,164.11280000465922,10118.382999993628,1201.2200772200772
1779112212,60,,Aggregated,3.000000,0.000000,300,380,440,460,8500,9900,9900,9900,10000,10000,10000,460,0,300,1587.4657365216674,46.520899995812215,10118.382999993628,1942.7239130434782
1779112213,60,,Aggregated,12.000000,0.000000,290,360,440,450,4800,9900,9900,9900,10000,10000,10000,609,0,290,1269.1995461412073,46.520899995812215,10118.382999993628,2071.8669950738918
1779112214,60,,Aggregated,29.700000,0.000000,290,360,430,450,2200,9600,9900,9900,10000,10000,10000,779,0,290,1058.2629894736006,46.520899995812215,10118.382999993628,2174.4120667522466
1779112215,60,,Aggregated,46.800000,0.000000,290,360,420,440,520,8100,9900,9900,10000,10000,10000,956,0,290,918.0156483261991,46.520899995812215,10118.382999993628,2228.5523012552303
1779112216,60,,Aggregated,62.300000,0.000000,280,350,410,430,500,7100,9900,9900,10000,10000,10000,1133,0,280,816.1505774049705,46.520899995812215,10118.382999993628,2246.0432480141217
1779112217,60,,Aggregated,79.100000,0.000000,260,320,370,410,470,2600,9900,9900,10000,10000,10000,1493,236,260,652.0940941727147,13.088199993944727,10118.382999993628,1903.8218352310785
1779112218,60,,Aggregated,96.800000,0.000000,180,270,310,350,440,520,9200,9900,9900,10000,10000,2091,834,180,474.56677541854276,1.931600010721013,10118.382999993628,1387.093256814921
1779112219,60,,Aggregated,113.200000,0.000000,50,210,280,310,420,490,7100,9900,9900,10000,10000,2744,1487,50,367.6441207726411,1.931600010721013,10118.382999993628,1080.0849125364432
1779112220,60,,Aggregated,151.700000,27.300000,36,160,220,280,390,450,4000,9600,9900,10000,10000,3430,2173,36,298.20739752183664,1.931600010721013,10118.382999993628,883.4679300291546
1779112221,60,,Aggregated,210.800000,86.900000,34,50,190,230,350,440,1500,9200,9900,10000,10000,4033,2776,34,258.15969407382505,1.931600010721013,10118.382999993628,765.8780064468137
1779112222,60,,Aggregated,275.000000,152.300000,30,45,160,200,330,440,530,8100,9900,10000,10000,4726,3469,30,224.2751161447036,1.931600010721013,10118.382999993628,667.7966567922133
1779112223,60,,Aggregated,332.700000,219.000000,29,40,64,170,310,420,520,7100,9900,10000,10000,5389,4132,29,199.54640565965104,1.931600010721013,10118.382999993628,597.5724624234551
1779112224,60,,Aggregated,375.000000,279.000000,28,37,47,140,290,410,500,4800,9900,10000,10000,6034,4777,28,180.8227231355636,1.931600010721013,10118.382999993628,544.0641365594962
