Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /contracts/,2371,0,770,765.892270181475,478.7458999926457,1022.7882000035606,2319.0,19.981104837313755,0.0,770,800,820,830,860,880,900,920,940,1000,1000
GET,GET /dashboard/activity,2397,0,400,398.6029684605824,197.01350000104867,603.1997999962186,163.0,20.200214380025756,0.0,400,450,460,470,500,520,540,560,590,600,600
GET,GET /dashboard/summary,2401,0,910,924.9331240315325,620.6143000017619,1210.1838000089629,104.0,20.233923540442987,0.0,910,950,980,1000,1000,1100,1100,1100,1200,1200,1200
GET,GET /data-health/issues,979,0,600,588.7925566905224,344.1620000085095,771.06339999591,13996.0,8.25031701211732,0.0,600,630,650,660,690,720,740,760,770,770,770
GET,GET /deals/,2480,0,360,592.6783552823712,180.86350000521634,15404.74169999652,1784.0,20.899679458683302,0.0,360,440,460,470,510,530,3400,8500,15000,15000,15000
GET,GET /document-registry/,2355,0,520,507.90211804685237,332.22149999346584,678.37559999316,2789.0,19.84626819564483,0.0,520,540,560,570,600,620,640,660,670,680,680
GET,GET /finance/cashflow,986,0,520,512.3240165314281,335.94910000101663,686.205300007714,1707.0,8.309308042847475,0.0,530,540,560,580,610,620,650,660,690,690,690
GET,GET /finance/overview,989,0,720,721.4015587466073,430.84929999895394,889.3986000039149,2372.0,8.334589913160398,0.0,720,760,770,780,810,840,860,870,890,890,890
POST,POST /auth/login,100,0,10000,9207.261485999043,2745.9280000039143,12899.718200002098,1350.0,0.8427290104307783,0.0,11000,11000,12000,12000,12000,13000,13000,13000,13000,13000,13000
,Aggregated,15058,0,560,688.9274678842414,180.86350000521634,15404.74169999652,2324.164762916722,126.8981343906666,0.0,560,710,780,820,900,980,1100,2700,15000,15000,15000
